CUSTOMER_ID,EMAIL_ADDRESS,FULL_NAME
287,kristina.nunez@changedmail,Kristina Nunez
288,mable.ballard@changedmail,Mable Ballard
289,diane.wilkerson@changedmail,Diane Wilkerson
290,sheryl.banks@changedmail,Sheryl Banks
291,opal.cruz@changedmail,Opal Cruz
292,dale.hughes@changedmail,Dale Hughes
293,diana.fowler@changedmail,Diana Fowler
294,travis.schwartz@changedmail,Travis Schwartz
295,anthony.boone@changedmail,Anthony Boone
296,tim.harmon@changedmail,Tim Harmon
297,kristin.brooks@changedmail,Kristin Brooks
298,kathy.dennis@changedmail,Kathy Dennis
299,vickie.james@changedmail,Vickie James
300,sandra.bass@changedmail,Sandra Bass
301,nelson.tate@changedmail,Nelson Tate
302,tiffany.pena@changedmail,Tiffany Pena
303,jeannette.hunt@changedmail,Jeannette Hunt
304,willie.cunningham@changedmail,Willie Cunningham
305,paulette.byrd@changedmail,Paulette Byrd
306,tasha.cobb@changedmail,Tasha Cobb
307,eloise.burton@changedmail,Eloise Burton
308,felix.fox@changedmail,Felix Fox
309,gary.barton@changedmail,Gary Barton
310,tracy.mcbride@changedmail,Tracy Mcbride
311,lorita.koenig@changedmail,Lorita Koenig
312,kaleigh.meade@changedmail,Kaleigh Meade
313,lexie.magee@changedmail,Lexie Magee
